Banyakanya Kendaraan di kecamatan Bulakamaba;;;;;
Jenis Kendaraan;;;;;
No;Desa;Mobil Penumpang;Mobil Barang;Mobil Bus;Sepeda Motor
1;Tegalglagah;5;55;0;3000
2;Petunjungan;14;31;0;397
3;Jubang;3;5;0;212
4;Dukuhlo;5;10;0;832
5;Cipelem;1;10;0;2000
6;Banjaratma;1;16;1;1506
7;Siwuluh;40;30;0;1425
8;Luwungragi;2;19;0;2008
9;Bangsri;0;10;0;2675
10;Rancawuluh;2;6;0;500
11;Bulusari;11;16;0;1076
12;Karangsari;3;6;0;718
13;Kluwut;40;51;0;3012
14;Bulakparen;0;2;0;525
15;Cimohong;5;60;200;3000
16;Grinting;1;41;0;1140
17;Bulakamba;13;6;0;2575
18;Pakijangan;2;24;0;1375
19;Pulogading;0;11;0;330
Jumlah;;148;409;201;28306
